Area,All,HIV,Malignant,Diabetes,Alzheimer,Heart ,TIA,Influenza,Respiratory Diseases,Liver,Nephritis,Accidents,Vehicle Accidents,Suicide ,Assault,Firearms,Population,Area km2,Region,Division,ANSI
Alabama,47090.00,172.00,9913.00,1429.00,1501.00,12869.00,2952.00,1011.00,2382.00,478.00,1036.00,2395.00,1188.00,535.00,433.00,736.00,4557808.00,1477953.00,South,E S Central,AL
Alaska,3168.00,7.00,732.00,93.00,61.00,627.00,178.00,44.00,158.00,52.00,38.00,313.00,93.00,131.00,37.00,116.00,663661.00,131171.00,West,Pacific,AK
Arizona,45827.00,138.00,9820.00,1208.00,1831.00,10966.00,2364.00,1297.00,2821.00,757.00,608.00,3150.00,1200.00,945.00,532.00,934.00,5939292.00,294207.00,West,Mountain,AZ
Arkansas,28055.00,86.00,6361.00,824.00,686.00,7575.00,1847.00,886.00,1559.00,228.00,624.00,1329.00,696.00,400.00,219.00,439.00,2779154.00,134771.00,South,W S Central,AR
California,237037.00,1291.00,54732.00,7697.00,7706.00,64916.00,15585.00,7553.00,13188.00,3822.00,2482.00,11129.00,4427.00,3206.00,2540.00,3453.00,36132147.00,403466.00,West,Pacific,CA
Colorado,29627.00,93.00,6395.00,753.00,1064.00,6307.00,1599.00,666.00,1914.00,436.00,470.00,1947.00,673.00,800.00,182.00,535.00,4665177.00,268431.00,West,Mountain,CO
Connecticut,29467.00,148.00,7052.00,811.00,777.00,7650.00,1528.00,956.00,1471.00,283.00,580.00,1134.00,293.00,295.00,107.00,187.00,3510297.00,12542.00,Northeast,New England,CT
Delaware,7472.00,63.00,1799.00,233.00,180.00,2031.00,384.00,162.00,411.00,67.00,128.00,293.00,119.00,83.00,55.00,75.00,843524.00,5047.00,South,S Atlantic,DE
District of Columbia,5483.00,204.00,1151.00,192.00,112.00,1518.00,231.00,98.00,132.00,67.00,68.00,207.00,38.00,33.00,180.00,154.00,550521.00,158.00,South,S Atlantic,DC
Florida,170791.00,1718.00,40592.00,5193.00,4608.00,46279.00,9361.00,2802.00,9482.00,2139.00,2416.00,8868.00,3526.00,2347.00,998.00,1838.00,17789864.00,138887.00,South,S Atlantic,FL
Georgia,66736.00,666.00,14358.00,1742.00,1745.00,16781.00,3854.00,1596.00,3411.00,689.00,1520.00,3762.00,1686.00,924.00,649.00,1064.00,9072576.00,148959.00,South,S Atlantic,GA
Hawaii,9136.00,18.00,2169.00,218.00,192.00,2319.00,688.00,241.00,287.00,96.00,150.00,436.00,141.00,107.00,25.00,28.00,1275194.00,16635.00,West,Pacific,HI
Idaho,10556.00,8.00,2368.00,299.00,407.00,2450.00,718.00,289.00,717.00,126.00,110.00,606.00,283.00,228.00,45.00,195.00,1429096.00,214045.00,West,Mountain,ID
Illinois ,103974.00,410.00,24250.00,3034.00,2827.00,28226.00,6252.00,2949.00,5067.00,1002.00,2402.00,4182.00,1469.00,1086.00,866.00,1019.00,12763371.00,143793.00,Midwest,E N Central,IL
Indiana,55675.00,102.00,12796.00,1719.00,1651.00,14542.00,3296.00,1317.00,3471.00,496.00,1284.00,2480.00,975.00,745.00,368.00,705.00,6271973.00,92789.00,Midwest,E N Central,IN
Iowa,27811.00,16.00,6453.00,727.00,1082.00,7437.00,1902.00,896.00,1703.00,215.00,250.00,1202.00,468.00,333.00,44.00,201.00,2966334.00,144669.00,Midwest,W N Central,IA
Kansas,24682.00,32.00,5428.00,710.00,912.00,5960.00,1571.00,730.00,1567.00,200.00,517.00,1149.00,498.00,362.00,106.00,257.00,2744687.00,211754.00,Midwest,W N Central,KS
Kentucky,40223.00,62.00,9505.00,1187.00,1147.00,10782.00,2168.00,1021.00,2578.00,380.00,912.00,2405.00,1003.00,566.00,222.00,548.00,4173405.00,102269.00,South,E S Central,KY
Louisiana,44355.00,403.00,9249.00,1695.00,1405.00,11008.00,2469.00,996.00,1906.00,380.00,1187.00,3072.00,1029.00,505.00,592.00,858.00,4523628.00,111898.00,South,W S Central,LA
Maine,12868.00,11.00,3218.00,385.00,476.00,2941.00,693.00,352.00,830.00,116.00,250.00,579.00,192.00,175.00,22.00,109.00,1321505.00,79883.00,Northeast,New England,ME
Maryland,43892.00,528.00,10371.00,1388.00,958.00,11594.00,2476.00,1194.00,1908.00,459.00,752.00,1376.00,628.00,472.00,576.00,657.00,5600388.00,25142.00,South,S Atlantic,MD
Massachusetts,53874.00,184.00,13182.00,1271.00,1638.00,13280.00,2977.00,1935.00,2647.00,505.00,1410.00,1907.00,484.00,480.00,178.00,224.00,6398743.00,20202.00,Northeast,New England,MA
Michigan,86867.00,224.00,20094.00,2842.00,2359.00,25128.00,5057.00,1950.00,4466.00,1010.00,1681.00,3451.00,1231.00,1108.00,677.00,1074.00,10120860.00,146435.00,Midwest,E N Central,MI
Minnesota,37535.00,53.00,8823.00,1258.00,1320.00,7926.00,2379.00,846.00,1965.00,317.00,669.00,1922.00,642.00,547.00,139.00,361.00,5132799.00,206232.00,Midwest,W N Central,MN
Mississippi,29196.00,191.00,6065.00,677.00,721.00,8637.00,1622.00,645.00,1473.00,272.00,667.00,1936.00,965.00,363.00,254.00,455.00,2921088.00,121531.00,South,E S Central,MS
Missouri,54656.00,130.00,12419.00,1549.00,1635.00,14974.00,3347.00,1527.00,3085.00,419.00,1156.00,2848.00,1203.00,727.00,417.00,752.00,5800310.00,178040.00,Midwest,W N Central,MO
Montana,8528.00,7.00,1956.00,285.00,267.00,1855.00,522.00,213.00,580.00,120.00,109.00,524.00,236.00,206.00,33.00,161.00,935670.00,376962.00,West,Mountain,MT
Nebraska,14963.00,26.00,3355.00,449.00,473.00,3640.00,986.00,370.00,949.00,133.00,245.00,704.00,287.00,187.00,44.00,135.00,1758787.00,198974.00,Midwest,W N Central,NE
Nevada,19029.00,86.00,4238.00,336.00,310.00,5094.00,945.00,454.00,1227.00,275.00,438.00,1104.00,459.00,480.00,190.00,390.00,2414807.00,284332.00,West,Mountain,NV
