title;abstract
Detection of SARS-CoV-2 RNA in fecal specimens of patients with confirmed COVID-19: A meta-analysis;Recent studies showed that SARS-CoV-2 RNA may be found in fecal specimens of COVID-19 patients, but the sample size is limited. This systematic review and meta-analysis examined the detection rate of SARS-CoV-2 RNA in fecal specimens of these patients according to their clinical characteristics.
Common determinants of severe Covid-19 infection are explicable by SARS-CoV-2 secreted glycoprotein interaction with the CD33-related Siglecs, Siglec-3 and Siglec-5/14;SARS-CoV-2 interaction with the ACE-2 receptor cannot alone explain the demography and remarkable variation in clinical progression of Covid-19 infection.
High SARS-CoV-2 antibody prevalence among healthcare workers exposed to COVID-19 patients;The seroprevalence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was examined among 105 healthcare workers (HCWs) exposed to four patients who were laboratory confirmed with coronavirus disease 2019 (COVID-19), the disease caused by SARS-CoV-2 infection. These HCWs were immediately under quarantine for 14 days as soon as they were identified as close contacts. The nasopharyngeal swab samples were collected on the first and 14
Could the D614G substitution in the SARS-CoV-2 spike (S) protein be associated with higher COVID-19 mortality?;The increasing number of deaths due to the COVID-19 pandemic has raised serious global concerns. Increased testing capacity and ample intensive care availability could explain lower mortality in some countries compared to others. Nevertheless, it is also plausible that the SARS-CoV-2 mutations giving rise to different phylogenetic clades are responsible for the apparent death rate disparities around the world. Current research literature linking the genetic make-up of SARS-CoV-2 with fatalities is lacking. Here, we suggest that this disparity in fatality rates may be attributed to SARS-CoV-2 evolving mutations and urge the international community to begin addressing the phylogenetic clade classification of SARS-CoV-2 in relation to clinical outcomes.
Antimalarial artemisinin-based combination therapies (ACT) and COVID-19 in Africa: ;At the end of November 2019, a novel coronavirus responsible for respiratory tract infections (COVID-19) emerged in China. Despite drastic containment measures, this virus, known as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), spread in Asia and Europe. The pandemic is ongoing with a particular hotspot in Southern Europe and America
Diagnostic yield of repeat testing for SARS-CoV-2: Experience from a large health system in Los Angeles;To determine the diagnostic yield of repeat testing for SARS-CoV-2.
Computational analysis of SARS-CoV-2/COVID-19 surveillance by wastewater-based epidemiology locally and globally: Feasibility, economy, opportunities and challenges;With the economic and practical limits of medical screening for SARS-CoV-2/COVID-19 coming sharply into focus worldwide, scientists are turning now to wastewater-based epidemiology (WBE) as a potential tool for assessing and managing the pandemic. We employed computational analysis and modeling to examine the feasibility, economy, opportunities and challenges of enumerating active coronavirus infections locally and globally using WBE. Depending on local conditions, detection in community wastewater of one symptomatic/asymptomatic infected case per 100 to 2,000,000 non-infected people is theoretically feasible, with some practical successes now being reported from around the world. Computer simulations for past, present and emerging epidemic hotspots (e.g., Wuhan, Milan, Madrid, New York City, Teheran, Seattle, Detroit and New Orleans) identified temperature, average in-sewer travel time and per-capita water use as key variables. WBE surveillance of populations is shown to be orders of magnitude cheaper and faster than clinical screening, yet cannot fully replace it. Cost savings worldwide for one-time national surveillance campaigns are estimated to be in the million to billion US dollar range (US$), depending on a nation's population size and number of testing rounds conducted. For resource poor regions and nations, WBE may represent the only viable means of effective surveillance. Important limitations of WBE rest with its inability to identify individuals and to pinpoint their specific locations. Not compensating for temperature effects renders WBE data vulnerable to severe under-/over-estimation of infected cases. Effective surveillance may be envisioned as a two-step process in which WBE serves to identify and enumerate infected cases, where after clinical testing then serves to identify infected individuals in WBE-revealed hotspots. Data provided here demonstrate this approach to save money, be broadly applicable worldwide, and potentially aid in precision management of the pandemic, thereby helping to accelerate the global economic recovery that billions of people rely upon for their livelihoods.
Serological immunochromatographic approach in diagnosis with SARS-CoV-2 infected COVID-19 patients;An outbreak of new coronavirus SARS-CoV-2 was occurred in Wuhan, China and rapidly spread to other cities and nations. The standard diagnostic approach that widely adopted in the clinic is nucleic acid detection by real-time RT-PCR. However, the false-negative rate of the technique is unneglectable and serological methods are urgently warranted. Here, we presented the colloidal gold-based immunochromatographic (ICG) strip targeting viral IgM or IgG antibody and compared it with real-time RT-PCR. The sensitivity of ICG assay with IgM and IgG combinatorial detection in nucleic acid confirmed cases were 11.1%, 92.9% and 96.8% at the early stage (1–7 days after onset), intermediate stage (8–14 days after onset), and late stage (more than 15 days), respectively. The ICG detection capacity in nucleic acid-negative suspected cases was 43.6%. In addition, the concordance of whole blood samples and plasma showed Cohen's kappa value of 0.93, which represented the almost perfect agreement between two types of samples. In conclusion, serological ICG strip assay in detecting SARS-CoV-2 infection is both sensitive and consistent, which is considered as an excellent supplementary approach in clinical application.
Defensin 5 for prevention of SARS-CoV-2 invasion and Covid-19 disease;Corona virus disease 2019 (Covid-19), a pandemia emerged recently, caused by severe acute respiratory syndrome corona virus 2 (SARS-CoV-2). The receptor for corona virus and influenza A is the mucosal cell membrane protein angiotensin converting enzyme 2 (ACE2), which is abundant on the membrane of alveolar cells and enterocytes. Viral spike protein 1 (S1) is the ligand, with an affinity of 14.7 nM to the receptor. The main port of entry for the virus is the upper respiratory tract, and the diagnosis is usually by PCR of the viral RNA with nasal and pharyngeal swab test. Human defensin 5 (HDEF5) is a protein encoded by the DEFA gene, secreted by Paneth cells in the small intestine and by granules of neutrophils. It has an affinity of 39.3 nM to ACE2, much higher than that of the corona S1. HDEF5 may also attach to glycosylated Corona S1 protein, make its efficiency even better. The issues to be investigated are the affinity of HDEF5 to S1 protein, the ability of recombinant HDEF5 function in attaching both ACE2 and S1, and the feasibility to perform aerosol spray of this protein. In addition, safety and efficiency should be studied in phases I, II and II clinical protocols.
First known person-to-person transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in the USA;Coronavirus disease 2019 (COVID-19) is a disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), first detected in China in December, 2019. In January, 2020, state, local, and federal public health agencies investigated the first case of COVID-19 in Illinois, USA.
